county,infant_mortality_rate
Alcona,
Alger,
Allegan,5.4
Alpena,4.9
Antrim,7.5
Arenac,
Baraga,
Barry,5.5
Bay,5.9
Benzie,
Berrien,8.9
Branch,5.6
Calhoun,6.0
Cass,7.1
Charlevoix,
Cheboygan,17.9
Chippewa,5.0
Clare,6.1
Clinton,6.4
Crawford,
Delta,4.7
Dickinson,
Eaton,4.7
Emmet,
Genesee,8.0
Gladwin,
Gogebic,
Grand Traverse,4.0
Gratiot,5.9
Hillsdale,4.9
Houghton,3.2
Huron,4.5
Ingham,7.2
Ionia,5.2
Iosco,6.0
Iron,
Isabella,7.6
Jackson,7.3
Kalamazoo,4.5
Kalkaska,
Kent,5.2
Keweenaw,
Lake,
Lapeer,6.3
Leelanau,
Lenawee,4.5
Livingston,3.7
Luce,
Mackinac,
Macomb,5.1
Manistee,
Marquette,3.4
Mason,
Mecosta,4.4
Menominee,
Midland,5.0
Missaukee,
Monroe,7.3
Montcalm,4.0
Montmorency,22.6
Muskegon,6.9
Newaygo,3.5
Oakland,4.2
Oceana,6.1
Ogemaw,
Ontonagon,
Osceola,6.2
Oscoda,
Otsego,6.0
Ottawa,4.0
Presque Isle,
Roscommon,9.0
Saginaw,10.0
Sanilac,6.7
Schoolcraft,20.0
Shiawassee,5.1
St. Clair,7.3
St. Joseph,6.0
Tuscola,5.8
Van Buren,3.6
Washtenaw,5.5
Wayne,9.6
Wexford,7.8
