# SDWIS MI Active CWS to County Crosswalk
# Generated as a one-shot from EPA-published SDWA bulk download.
# Source zip: https://echo.epa.gov/files/echodownloads/SDWA_latest_downloads.zip
# File last-modified: 2026-04-08
# Snapshot: SUBMISSIONYEARQUARTER = 2026Q1
# Authoring date: 2026-06-27
#
# Filter: PRIMACY_AGENCY_CODE=MI; PWS_ACTIVITY_CODE=A; PWS_TYPE_CODE=CWS;
#         AREA_TYPE_CODE=CN; ANSI_ENTITY_CODE matches Michigan county FIPS
#
# Conservation check:
#   active MI CWS total                      : 1377
#   distinct PWSIDs with >=1 county row      : 1377
#   distinct PWSIDs unmappable               : 0
#   mapped + unmappable                      : 1377 (== total, ok)
#   crosswalk rows (PWS-county pairs)        : 1378
#   multi-county PWS (rows duplicate PWSID)  : 1
#
# Caveats from the findings doc (sdwis-feasibility.md):
#   1. Denominator universe for the (c) metric is MI residents on a
#      community water system (~7.43M), NOT all MI residents (~10.14M).
#   2. The "active" violation-status pairing (Unaddressed + Addressed) is
#      AccessMI methodology, not EPA-attributable. See findings doc Q3.
#   3. Multi-county PWS need an apportionment rule chosen by the
#      integration PR. One PWS (MI0005970 SCHOOLCRAFT) is flagged below
#      via is_multi_county=true and appears as 2 rows.
#
# This file does not render in the app. No source-count change. No tile.
pwsid,pws_name,population_served,county_fips,county_name,is_multi_county
MI0003050,"HARRISVILLE, CITY OF",493,001,Alcona,false
MI0003868,LINCOLN MANOR,30,001,Alcona,false
MI0040001,LINCOLN ESTATES,48,001,Alcona,false
MI0063476,JAMIESON NURSING HOME,39,001,Alcona,false
MI0063865,LINCOLN HAVEN NURSING & REHABILITATION,39,001,Alcona,false
MI0001355,CHATHAM,300,003,Alger,false
MI0002780,BURT TOWNSHIP,411,003,Alger,false
MI0004152,MATHIAS TOWNSHIP,175,003,Alger,false
MI0004560,MUNISING,2783,003,Alger,false
MI0004561,MUNISING INDUSTRIAL PARK,465,003,Alger,false
MI0000120,ALLEGAN,5930,005,Allegan,false
MI0000125,ALLEGAN COUNTY SERVICES CENTER,101,005,Allegan,false
MI0001845,DORR-LEIGHTON,500,005,Allegan,false
MI0002260,FENNVILLE,2438,005,Allegan,false
MI0002291,FILLMORE TOWNSHIP,25,005,Allegan,false
MI0002655,GLENN HAVEN SHORES,100,005,Allegan,false
MI0002659,GLENNWOODS SUBDIVISION,77,005,Allegan,false
MI0002837,GREENFIELD ESTATES,68,005,Allegan,false
MI0002925,LAKE DOSTER,1492,005,Allegan,false
MI0002926,GUN PLAIN TOWNSHIP,1,005,Allegan,false
MI0003525,KALAMAZOO LAKE SEWER & WATER AUTHORITY,5000,005,Allegan,false
MI0003747,LAKETOWN TOWNSHIP,3200,005,Allegan,false
MI0003757,LAKEWOOD BEACH COMMUNITY SERVICES CO.,52,005,Allegan,false
MI0003838,LEE TOWNSHIP,35,005,Allegan,false
MI0003966,LYNX GOLF VIEW,40,005,Allegan,false
MI0004155,MARTIN,785,005,Allegan,false
MI0004596,MYSTIC VIEW APARTMENTS,100,005,Allegan,false
