countyFips,countyName,year,households,povertyHouseholds,aliceHouseholds,aboveAliceHouseholds,povertyPct,alicePct,belowAliceThresholdPct,thresholdUnder65,threshold65plus,acsEstimate
26001,Alcona,2024,5305,744,1545,3016,14.0,29.1,43.1,48584,48621,5-Year
26003,Alger,2024,3531,465,1059,2007,13.2,30.0,43.2,59718,50100,5-Year
26005,Allegan,2024,46506,3631,10452,32423,7.8,22.5,30.3,61359,50952,1-Year
26007,Alpena,2024,13019,2334,3393,7292,17.9,26.1,44.0,48339,46706,5-Year
26009,Antrim,2024,11100,1100,2804,7196,9.9,25.3,35.2,54162,51460,5-Year
26011,Arenac,2024,6552,773,1840,3939,11.8,28.1,39.9,50052,46560,5-Year
26013,Baraga,2024,3433,504,1040,1889,14.7,30.3,45.0,56182,48495,5-Year
26015,Barry,2024,24480,2317,5646,16517,9.5,23.1,32.5,57920,48504,5-Year
26017,Bay,2024,46193,5881,10241,30071,12.7,22.2,34.9,48661,48708,1-Year
26019,Benzie,2024,7708,853,1875,4980,11.1,24.3,35.4,59487,52716,5-Year
26021,Berrien,2024,62987,8675,15476,38836,13.8,24.6,38.3,56730,50364,1-Year
26023,Branch,2024,16906,2197,5006,9703,13.0,29.6,42.6,58187,47532,5-Year
26025,Calhoun,2024,53260,7314,14340,31606,13.7,26.9,40.7,56556,50568,1-Year
26027,Cass,2024,21207,2585,5827,12795,12.2,27.5,39.7,57341,52488,5-Year
26029,Charlevoix,2024,12267,1161,3061,8045,9.5,25.0,34.4,56367,52524,5-Year
26031,Cheboygan,2024,11159,1400,3175,6584,12.5,28.5,41.0,54355,49404,5-Year
26033,Chippewa,2024,14080,1867,4412,7801,13.3,31.3,44.6,59521,49260,5-Year
26035,Clare,2024,12521,2315,4620,5586,18.5,36.9,55.4,61236,49470,5-Year
26037,Clinton,2024,32983,2961,6902,23120,9.0,20.9,29.9,55273,52272,1-Year
26039,Crawford,2024,6231,1003,1689,3539,16.1,27.1,43.2,51882,49128,5-Year
26041,Delta,2024,15971,2281,4216,9474,14.3,26.4,40.7,50380,46716,5-Year
26043,Dickinson,2024,11905,1410,2775,7720,11.8,23.3,35.2,48400,46021,5-Year
26045,Eaton,2024,46127,4047,10074,32006,8.8,21.8,30.6,55096,51708,1-Year
26047,Emmet,2024,15190,1439,3403,10348,9.5,22.4,31.9,53908,52164,5-Year
26049,Genesee,2024,166807,29036,42689,95082,17.4,25.6,43.0,55891,51804,1-Year
26051,Gladwin,2024,11280,1759,3420,6101,15.6,30.3,45.9,53671,49099,5-Year
26053,Gogebic,2024,6989,1040,2317,3632,14.9,33.2,48.0,50897,48872,5-Year
26055,Grand Traverse,2024,41361,3636,9829,27896,8.8,23.8,32.6,57223,54636,1-Year
26057,Gratiot,2024,14775,1931,4548,8296,13.1,30.8,43.9,60037,49068,5-Year
26059,Hillsdale,2024,17860,2468,4957,10435,13.8,27.8,41.6,55804,47724,5-Year
26061,Houghton,2024,14305,2628,4176,7501,18.4,29.2,47.6,59086,49752,5-Year
26063,Huron,2024,14150,1956,3734,8460,13.8,26.4,40.2,47783,47184,5-Year
26065,Ingham,2024,118763,20154,31541,67068,17.0,26.6,43.5,56401,52668,1-Year
26067,Ionia,2024,23835,2605,6519,14711,10.9,27.4,38.3,64834,50400,1-Year
26069,Iosco,2024,11713,2276,3445,5992,19.4,29.4,48.8,49030,48324,5-Year
26071,Iron,2024,5547,971,1418,3158,17.5,25.6,43.1,48999,45672,5-Year
26073,Isabella,2024,24298,4450,7262,12586,18.3,29.9,48.2,56902,49728,1-Year
26075,Jackson,2024,63446,7497,18523,37426,11.8,29.2,41.0,58734,51492,1-Year
26077,Kalamazoo,2024,108759,14514,26447,67798,13.3,24.3,37.7,54967,49813,1-Year
26079,Kalkaska,2024,7789,870,2137,4782,11.2,27.4,38.6,55272,49987,5-Year
26081,Kent,2024,260646,22676,73566,164404,8.7,28.2,36.9,64265,56832,1-Year
26083,Keweenaw,2024,1135,142,383,610,12.5,33.7,46.3,46154,48666,5-Year
26085,Lake,2024,5190,1015,1657,2518,19.6,31.9,51.5,54622,48432,5-Year
26087,Lapeer,2024,36124,3418,9246,23460,9.5,25.6,35.1,60423,54408,1-Year
26089,Leelanau,2024,9645,674,3465,5506,7.0,35.9,42.9,95684,75924,5-Year
26091,Lenawee,2024,39744,4078,9218,26448,10.3,23.2,33.5,54490,50712,1-Year
26093,Livingston,2024,77294,4679,17660,54955,6.1,22.8,28.9,68609,59052,1-Year
26095,Luce,2024,2455,397,830,1228,16.2,33.8,50.0,57580,48420,5-Year
26097,Mackinac,2024,5199,862,1250,3087,16.6,24.0,40.6,51308,49548,5-Year
26099,Macomb,2024,362586,40284,99590,222712,11.1,27.5,38.6,61627,55608,1-Year
26101,Manistee,2024,10561,1343,3228,5990,12.7,30.6,43.3,60553,50556,5-Year
26103,Marquette,2024,28865,4811,7363,16691,16.7,25.5,42.2,56173,49667,1-Year
26105,Mason,2024,12801,1714,3281,7806,13.4,25.6,39.0,51705,48612,5-Year
26107,Mecosta,2024,16708,3158,3863,9687,18.9,23.1,42.0,53415,47235,5-Year
26109,Menominee,2024,10361,1444,3152,5765,13.9,30.4,44.4,50725,48727,5-Year
26111,Midland,2024,35687,3964,8346,23377,11.1,23.4,34.5,53336,50736,1-Year
26113,Missaukee,2024,5909,704,1835,3370,11.9,31.1,43.0,58363,46932,5-Year
26115,Monroe,2024,63369,6009,16069,41291,9.5,25.4,34.8,60431,53472,1-Year
26117,Montcalm,2024,25421,2905,7277,15239,11.4,28.6,40.1,60783,51384,1-Year
26119,Montmorency,2024,4921,960,1369,2592,19.5,27.8,47.3,47032,47159,5-Year
26121,Muskegon,2024,70148,12517,18944,38687,17.8,27.0,44.8,57998,51180,1-Year
26123,Newaygo,2024,19651,2393,5612,11646,12.2,28.6,40.7,55948,47220,5-Year
26125,Oakland,2024,524981,45699,121737,357545,8.7,23.2,31.9,66948,59136,1-Year
26127,Oceana,2024,10419,1319,3153,5947,12.7,30.3,42.9,58185,48480,5-Year
26129,Ogemaw,2024,9370,1559,2576,5235,16.6,27.5,44.1,47004,47907,5-Year
26131,Ontonagon,2024,3149,434,919,1796,13.8,29.2,43.0,47331,46902,5-Year
26133,Osceola,2024,9356,1484,2490,5382,15.9,26.6,42.5,53703,47292,5-Year
26135,Oscoda,2024,3788,670,1156,1962,17.7,30.5,48.2,49000,45679,5-Year
26137,Otsego,2024,11231,1008,2726,7497,9.0,24.3,33.2,49868,48276,5-Year
26139,Ottawa,2024,112695,10297,27821,74577,9.1,24.7,33.8,67588,56136,1-Year
26141,Presque Isle,2024,6655,940,1680,4035,14.1,25.2,39.4,47108,47748,5-Year
26143,Roscommon,2024,11579,1611,3468,6500,13.9,30.0,43.9,50108,47220,5-Year
26145,Saginaw,2024,79346,13820,19514,46012,17.4,24.6,42.0,53978,49032,1-Year
26151,Sanilac,2024,17516,2461,4597,10458,14.1,26.2,40.3,49954,46240,5-Year
26153,Schoolcraft,2024,3890,512,1154,2224,13.2,29.7,42.8,49883,47402,5-Year
26155,Shiawassee,2024,29163,4073,5530,19560,14.0,19.0,32.9,50967,48792,1-Year
26147,St. Clair,2024,69121,7621,19315,42185,11.0,27.9,39.0,56484,53964,1-Year
26149,St. Joseph,2024,23620,2731,6470,14419,11.6,27.4,39.0,55646,46521,5-Year
26157,Tuscola,2024,21498,2747,5759,12992,12.8,26.8,39.6,53427,48397,5-Year
26159,Van Buren,2024,32740,4454,7668,20618,13.6,23.4,37.0,52526,44529,1-Year
26161,Washtenaw,2024,151711,21800,32940,96971,14.4,21.7,36.1,65302,59928,1-Year
26163,Wayne,2024,707662,146882,210100,350680,20.8,29.7,50.4,63036,55063,1-Year
26165,Wexford,2024,13696,1940,3962,7794,14.2,28.9,43.1,54594,47616,5-Year
